label,institution_name,street,post_number,municipality,region,lat,lng
"Heldagsskolen i Slimminge, Slimmingevej 94, 4100, Køge ",Heldagsskolen i Slimminge,Slimmingevej 94,4100,Køge , Sjælland,55.43704457,11.97051617
"Natur- og Helhedsskolen Christiansfeld, Skovrupvej 42, 6070, Kolding ",Natur- og Helhedsskolen Christiansfeld,Skovrupvej 42,6070,Kolding , Syddanmark,55.37788338,9.4409326
"Firkløverskolen, Skolevang 2, 4060, Lejre ",Firkløverskolen,Skolevang 2,4060,Lejre , Sjælland,55.6503679,11.82106134
"Marielundskole og Børnehus, Fynsvej 51, 6000, Kolding ",Marielundskole og Børnehus,Fynsvej 51,6000,Kolding , Syddanmark,55.49479404,9.48687969
"Kongevejsskolen, Kongevejen 80A, 3450, Allerød ",Kongevejsskolen,Kongevejen 80A,3450,Allerød , Hovedstaden,55.87615648,12.37595103
"Svendborg Heldagsskole, Skolebakken 6, 5762, Svendborg ",Svendborg Heldagsskole,Skolebakken 6,5762,Svendborg , Syddanmark,55.07359205,10.49100173
"Bogense Heldagsskole, Stegøvej 2, 5400, Nordfyns ",Bogense Heldagsskole,Stegøvej 2,5400,Nordfyns , Syddanmark,55.56848762,10.09773
"Skrøbelev Skole, Vindeltorpvej 1, 5900, Langeland ",Skrøbelev Skole,Vindeltorpvej 1,5900,Langeland , Syddanmark,54.92480754,10.74073006
"Skolen ved Nordens Plads, Sofus Francks Vænge 32, 2000, Frederiksberg ",Skolen ved Nordens Plads,Sofus Francks Vænge 32,2000,Frederiksberg , Hovedstaden,55.67010204,12.50306321
"Hvidovre Heldagsskole, Kettegård Alle 2, 2650, Hvidovre ",Hvidovre Heldagsskole,Kettegård Alle 2,2650,Hvidovre , Hovedstaden,55.64883835,12.47707351
"Fremtidslinjen Køge, Karlemosevej 48, 4600, Køge ",Fremtidslinjen Køge,Karlemosevej 48,4600,Køge , Sjælland,55.48265899,12.16952156
"Hospitalsundervisningen, Børne- og Ungdomspsykiatrisk Afdeling, Mølleparkvej 10, 9000, Aalborg ","Hospitalsundervisningen, Børne- og Ungdomspsykiatrisk Afdeling",Mølleparkvej 10,9000,Aalborg , Nordjylland,57.03853921,9.90532768
"Kalvehave Skole & Børnehus, Kirkevejen 3, 4771, Vordingborg ",Kalvehave Skole & Børnehus,Kirkevejen 3,4771,Vordingborg , Sjælland,55.00414378,12.14291092
"Skolen ved Skoven, Førslev Skolevej 9, 4690, Faxe ",Skolen ved Skoven,Førslev Skolevej 9,4690,Faxe , Sjælland,55.35609235,11.90675847
"Øen, Sofiendalsvej 42A, 4690, Faxe ",Øen,Sofiendalsvej 42A,4690,Faxe , Sjælland,55.32909739,11.9738838
"Centerklasserne, Skolegade 39, 4653, Faxe ",Centerklasserne,Skolegade 39,4653,Faxe , Sjælland,55.3087204,12.19068322
"Centerklasseafdelingen, Ådalskolen, Dalgas Allé 22, 7800, Skive ","Centerklasseafdelingen, Ådalskolen",Dalgas Allé 22,7800,Skive , Midtjylland,56.54988625,9.01362213
"Frederiksodde Skole, Ullerupdalvej 10, 7000, Fredericia ",Frederiksodde Skole,Ullerupdalvej 10,7000,Fredericia , Syddanmark,55.57443923,9.72217125
